name,base_plan,address,services,comorbidities,values,date
Espaço SOU Corpo e Mente,Silver,"R. Carmem Irene Batista, 2777 - Estacao, Franca - SP, 14405-135, Brasil","Circuit training,Fitness,Funcional,Gentle Yoga,Hatha Yoga,Meditação,Personal trainer,Power Yoga,Programa Fitness,Reconnective Yoga,Total Flex (Along + Yoga),Treinamento Hibrido (Musculação + Funcional),Vinyasa Yoga,Yin Yan Yoga,Yin Yoga,Yoga,Yoga - Vinyasa Flow,Yoga para Gestantes,Yoga Props,Yoga Sculpt","Armários,Banheiros de gênero neutro,Itens de higiene pessoal,Loja de artigos esportivos,Personal trainer,Wi-Fi",139.9,2025-06-16
Formativa Studio de Pilates,Silver,"R. José de Alencar, 1785 - Estacao, Franca - SP, 14405-208, Brasil",Pilates,"Armários,Loja de artigos esportivos,Vestiário",139.9,2025-06-16
Yoga Hall,Silver,"Av. Dr. Hélio Palermo, 2888 - Centro, Franca - SP, 14401-010, Brasil",Yoga,"Ar condicionado,Estacionamento,Vestiário",139.9,2025-06-16
Bluetech Academia,Starter,"R. Evangelista de Lima, 589 - Vila Nicacio, Franca - SP, 14405-116, Brasil","Fitness,Personal Trainer - Musculação","Armários,Banheiros de gênero neutro,Espaço adaptado para cadeira de rodas,Vestiário,Wi-Fi",35.9,2025-06-16
Bio Cross,Basic+,"R. Chile, 1521 - Jardim Consolacao, Franca - SP, 14400-110, Brasil",Crosstraining,"Armários,Espaço adaptado para cadeira de rodas,Wi-Fi",89.9,2025-06-16
Studio Fitness Fitclub,Basic+,"R. Ibiraci, 266 - Jardim Francano, Franca - SP, 14405-014, Brasil","Bike Indoor,Condicionamento funcional,Fitness","Armários,Cadeado e chave,Chuveiro,Personal trainer,Vestiário,Wi-Fi",89.9,2025-06-16
Equilibrium - Cuidamos de você,Silver,"R. Cavalheiro Ângelo Presotto, 327 - São José, Franca - SP, 14401-289, Brasil","Circuito de areia,Condicionamento Físico,Fitness,Neo Pilates,Pilates,Tênis de Praia","Ar condicionado,Armários,Chuveiro,Equipamentos de treino,Estacionamento,Fisioterapeuta,Loja de artigos esportivos,Nutricionista,Personal trainer,Vestiário,Wi-Fi",139.9,2025-06-16
Academia Pumping Iron Franca,Starter,"Rua Voluntários da Franca, 348 - Estacao, Franca - SP, 14405-103, Brasil",Fitness,"Ar condicionado,Chuveiro,Equipamentos de treino,Itens de higiene pessoal,Personal trainer,Vestiário,Wi-Fi",35.9,2025-06-16
My Box - Franca,Basic+,"Av. Alonso Y Alonso, 730 - Jardim Veneza, Franca - SP, 14403-052, Brasil",,"Ar condicionado,Área infantil,Armários,Espaço adaptado para cadeira de rodas,Estacionamento,Mini bar,Vestiário,Wi-Fi",89.9,2025-06-16
Cross Franca,Silver,"Av. Ângelo Pedro, 2758 - São José, Franca - SP, 14403-416, Brasil",Crossfit,"Área infantil,Armários,Espaço adaptado para cadeira de rodas,Estacionamento,Vestiário",139.9,2025-06-16
Clínica Fases,Silver,"Rua Voluntários da Franca, 2793 - São José, Franca - SP, 14403-424, Brasil","Funcional,Funcional Hiit,Mat. Pilates (solo),Pilates Fit,Pilates Gestantes,Pilates no reformer","Ar condicionado,Área infantil,Estacionamento,Fisioterapeuta,Wi-Fi",139.9,2025-06-16
Jaqueline Leonel Siqueira Coreografa,Silver,"R. Diogo Feijó, 1941 - Estacao, Franca - SP, 14405-212, Brasil","Aeróbicas,Aulas Particulares de Dança,Ballet,Dança Contemporânea,Dança de Salão,Dança Urbana,Jump,Ritmos Brasileiros,Stiletto Dance,Zumba","Área infantil,Armários,Chuveiro,Espaço adaptado para cadeira de rodas,Personal trainer,Vestiário,Wi-Fi",139.9,2025-06-16
MB Studio Fitness,Starter,"Av. Frei Germano, 1868 - Estacao, Franca - SP, 14405-215, Brasil","Abs,Circuit training,Condicionamento Físico,Core Express,Fitness,Funcional,Functional Bodybuilding,Jump,Musculação Kids,Personal Dance,Queima de Gordura,Regeneração,Wellness","Área infantil,Armários,Chuveiro,Equipamentos de treino,Espaço adaptado para cadeira de rodas,Personal trainer,Salão de beleza,Vestiário,Wi-Fi",35.9,2025-06-16
Lótus Yoga Franca,Silver,"R. México, 1309 - Jardim Consolacao, Franca - SP, 14400-100, Brasil",Yoga,,139.9,2025-06-16
Instituto Dok Su Ri de Hapkido,Silver+,"Avenida Eliza Verzola Gosuen, 1875 - Jardim Angela Rosa, Santa Rita - PB, 14403-603, Brasil",Arte marcial,"Área infantil,Armários,Equipamentos de treino,Personal trainer,Vestiário",189.9,2025-06-16
StudioBox MetodoFit,Basic+,"R. Joaquim Pousa Araújo, 2755 - Prolongamento Vila Santa Cruz, Franca - SP, 14403-609, Brasil",Cross Training,"Área infantil,Armários,Equipamentos de treino,Nutricionista,Vestiário,Wi-Fi",89.9,2025-06-16
Yoga com Júlia Naves,Silver,"R. Dr. Carlos Signoreli, 2592 - Vila Industrial, Franca - SP, 14403-367, Brasil","Ashtanga Yoga,Hatha Yoga,Hatha-Raja-Vinyasa,Ioga restauradora,Vinyasa Yoga,Yin Yoga,Yoga,Yoga - Vinyasa Flow,Yoga para Gestantes,Yogaterapia","Ar condicionado,Armários,Equipamentos de treino,Espaço adaptado para cadeira de rodas,Estacionamento,Itens de higiene pessoal,Loja de artigos esportivos,Mini bar,Personal trainer,Vestiário,Wi-Fi",139.9,2025-06-16
MK Studio Personal Training,Basic+,"R. Profa. Suzana Ribeiro Sandoval, 499 - consolaçao, Franca - SP, 14400-190, Brasil","Aeróbicas,Circuito Funcional,Fitness,Gestantes,Jiu-jitsu Brasileiro,Jiu-jitsu Infantil,Muay Thai,Musculação Kids,Perda de peso,Pre/Pós Natal,Reabilitação,Treinamento Hibrido (Musculação + Funcional)",Espaço adaptado para cadeira de rodas,89.9,2025-06-16
